Date.Collected,Location,Age,Age.Broad,Sex,Season,Sample.ID,Tissue,Full.ID,Species,volume.resuspend.ml,mass.tube.mg,mass.sample.mg,mass.g,vol.plasma.ml,tot.ug.ml,Bcarotene.ug.ml,Zeaxanthin.ug.ml,Lutein.ug.ml,Acrypto.ug.ml,Bcrypto.ug.ml,Echinenone.ug.ml,Total.st,minor.peaks.st,Bcarotene.st,Zeaxanthin.st,Lutein.st,Acrypto.st,Bcrypto.st,Echinenone.st,bcaro.prop,zea.prop,lutein.prop,acrypto.prop,bcrypto.prop,echine.prop,minor.prop
11/23/2021,GTR Landfill,HY,HY/SY,Male,Fall,R23,Skin,R23-skin,Turkey,0.07,951.5,982.6,0.0311,NA,0.40262,0.2508,0.053,0.0623,0.00361,0.0172,0.0157,0.9062,0.0822,0.5645,0.1194,0.1402,0.0081,0.0387,0.0353,0.62293092,0.131758994,0.154711984,0.008938424,0.042705804,0.038953873,0.090598101
11/23/2021,GTR Landfill,HY,HY/SY,Female,Fall,R21,Skin,R21-skin,Turkey,0.07,953.2,985.6,0.0324,NA,0.16786,0.0874,0.0269,0.0249,0.00452,0.01178,0.0124,0.3627,0.0621,0.1888,0.0581,0.0537,0.0098,0.0255,0.0269,0.520540392,0.160187483,0.148056245,0.027019575,0.070306038,0.074165977,0.17149159
11/23/2021,GTR Landfill,ASY,ASY,Male,Fall,R20,Skin,R20-skin,Turkey,0.07,963.6,1006.5,0.0429,NA,0.45328,0.2098,0.1306,0.0791,0.00285,0.01521,0.0157,0.7396,0.055,0.3423,0.2132,0.1291,0.0047,0.0248,0.0255,0.462817739,0.288263926,0.174553813,0.006354786,0.033531639,0.034478096,0.074364521
11/23/2021,GTR Landfill,ASY,ASY,Female,Fall,R24,Skin,R24-skin,Turkey,0.07,1010.4,1053.4,0.043,NA,0.9444,0.6011,0.1752,0.0852,0.00634,0.03079,0.0458,1.5374,0.135,0.9786,0.2852,0.1387,0.0103,0.0501,0.0745,0.636529205,0.185508001,0.09021725,0.006699623,0.032587485,0.048458436,0.087745544
11/23/2021,GTR Landfill,ASY,ASY,Female,Fall,R25,Skin,R25-skin,Turkey,0.07,1001.3,1071.3,0.07,NA,1.0365,0.4656,0.3149,0.1416,0.01132,0.02503,0.078,1.0365,0.1144,0.4656,0.3149,0.1416,0.0113,0.025,0.078,0.449204052,0.303810902,0.136613603,0.010902074,0.024119633,0.075253256,0.110274963
11/22/2021,Meridian Landfill,SY,HY/SY,Male,Fall,R59,Skin,R59-skin,Black,0.07,962.1,998.2,0.0361,NA,0.0221,0.0168,Trace,Trace,0.00273,0.00261,Trace,0.0429,0.0104,0.0325,Trace,Trace,0.0053,0.0051,Trace,0.757575758,Trace,Trace,0.123543124,0.118881119,Trace,0.242424243
11/22/2021,Meridian Landfill,ASY,ASY,Female,Fall,R09,Skin,R09-skin,Black,0.07,946.2,993.3,0.0471,NA,0.00669,0.0016,Trace,Trace,0.00279,0.00227,ND,0.0099,0.0075,0.0024,Trace,Trace,0.0041,0.0034,Trace,0.242424242,Trace,Trace,0.414141414,0.343434343,Trace,0.757575757
11/22/2021,Meridian Landfill,ASY,ASY,Female,Fall,R10,Skin,R10-skin,Black,0.07,1002.8,1075.4,0.0726,NA,0.14149,0.0957,0.0278,Trace,0.0038,0.0075,0.0068,0.1364,0.0174,0.0923,0.0268,Trace,0.0037,0.0072,0.0065,0.676686217,0.196480938,Trace,0.0271261,0.052785924,0.047653959,0.127565983
11/22/2021,Meridian Landfill,ASY,ASY,Male,Fall,R11,Skin,R11-skin,Black,0.07,954.2,1011.8,0.0576,NA,0.12212,0.0853,0.0236,Trace,0.00351,0.00626,0.0035,0.1484,0.0161,0.1037,0.0287,Trace,0.0043,0.0076,0.0042,0.698787062,0.193396226,Trace,0.028975741,0.051212938,0.028301887,0.108490566
11/22/2021,Meridian Landfill,HY,HY/SY,Female,Fall,R12,Skin,R12-skin,Black,0.07,948.4,982.3,0.0339,NA,0.12383,0.1033,0.0081,Trace,0.00402,0.00449,0.004,0.2557,0.0259,0.2132,0.0166,Trace,0.0083,0.0093,0.0083,0.833789597,0.064919828,Trace,0.032459914,0.036370747,0.032459914,0.101290575
